Accession,SRR accession,Ethambutol,Isoniazid,Pyrazinamide,Rifampicin,Isolate
SAMN03647955,SRR2100782,S,S,S,S,SAMN03647955
SAMN03647408,SRR2100235,S,S,S,S,SAMN03647408
SAMN03647340,SRR2100167,S,R,S,S,SAMN03647340
SAMN03647310,SRR2100137,S,S,S,S,SAMN03647310
SAMN03647536,SRR2100363,S,S,S,S,SAMN03647536
SAMN03647274,SRR2100101,S,R,S,R,SAMN03647274
SAMN03647603,SRR2100430,S,S,S,S,SAMN03647603
SAMN03647689,SRR2100516,S,S,S,S,SAMN03647689
SAMN03647998,SRR2100825,S,S,R,S,SAMN03647998
SAMN03647355,SRR2100182,S,S,S,S,SAMN03647355
SAMN03647260,SRR2100087,S,S,S,S,SAMN03647260
SAMN03647566,SRR2100393,S,R,S,S,SAMN03647566
SAMN03647981,SRR2100808,S,S,S,S,SAMN03647981
SAMN03647264,SRR2100091,S,S,S,S,SAMN03647264
SAMN03647874,SRR2100701,S,S,S,S,SAMN03647874
SAMN03647424,SRR2100251,S,R,S,S,SAMN03647424
SAMN03647656,SRR2100483,S,S,S,S,SAMN03647656
SAMN03647526,SRR2100353,S,R,S,S,SAMN03647526
SAMN03647199,SRR2100026,S,R,S,R,SAMN03647199
SAMN03648033,SRR2100860,S,S,S,S,SAMN03648033
SAMN03647381,SRR2100208,S,R,S,S,SAMN03647381
SAMN03647336,SRR2100163,S,S,S,S,SAMN03647336
SAMN03647724,SRR2100551,S,S,S,S,SAMN03647724
SAMN03647213,SRR2100040,S,S,S,S,SAMN03647213
SAMN03647892,SRR2100719,S,S,S,S,SAMN03647892
SAMN03648230,SRR2100983,S,S,S,S,SAMN03648230
SAMN03647732,SRR2100559,S,S,S,S,SAMN03647732
SAMN03647504,SRR2100331,S,R,R,R,SAMN03647504
SAMN03647696,SRR2100523,S,S,S,S,SAMN03647696
SAMN03648037,SRR2100864,S,S,S,S,SAMN03648037
SAMN03647816,SRR2100643,S,S,S,S,SAMN03647816
SAMN03647486,SRR2100313,S,S,S,S,SAMN03647486
SAMN03647640,SRR2100467,S,S,S,S,SAMN03647640
SAMN03647356,SRR2100183,S,S,S,S,SAMN03647356
SAMN03647559,SRR2100386,S,R,S,S,SAMN03647559
SAMN03648220,SRR2100973,S,S,S,S,SAMN03648220
SAMN03648184,SRR2100937,S,S,S,S,SAMN03648184
SAMN03647928,SRR2100755,S,S,S,S,SAMN03647928
SAMN03648187,SRR2100940,S,S,S,S,SAMN03648187
SAMN03647440,SRR2100267,R,R,S,R,SAMN03647440
SAMN03647420,SRR2100247,S,S,S,S,SAMN03647420
SAMN03647778,SRR2100605,S,S,S,S,SAMN03647778
SAMN03647492,SRR2100319,S,S,S,S,SAMN03647492
SAMN03647461,SRR2100288,S,R,R,S,SAMN03647461
SAMN03647223,SRR2100050,S,S,S,S,SAMN03647223
SAMN03647495,SRR2100322,S,S,S,S,SAMN03647495
SAMN03647433,SRR2100260,S,R,S,S,SAMN03647433
SAMN03647197,SRR2100024,S,S,S,S,SAMN03647197
SAMN03647174,SRR2100001,S,S,S,S,SAMN03647174
SAMN03647546,SRR2100373,S,S,S,S,SAMN03647546
SAMN03648061,SRR2100888,S,R,S,S,SAMN03648061
SAMN03647573,SRR2100400,R,R,R,R,SAMN03647573
SAMN03647682,SRR2100509,S,S,S,S,SAMN03647682
SAMN03647770,SRR2100597,S,S,S,S,SAMN03647770
SAMN03647485,SRR2100312,S,R,S,S,SAMN03647485
SAMN03647239,SRR2100066,S,S,S,S,SAMN03647239
SAMN03647905,SRR2100732,S,S,S,S,SAMN03647905
SAMN03647389,SRR2100216,S,R,S,S,SAMN03647389
SAMN03648062,SRR2100889,R,R,S,R,SAMN03648062
SAMN03647612,SRR2100439,S,S,S,S,SAMN03647612
SAMN03647945,SRR2100772,S,S,S,S,SAMN03647945
SAMN03647971,SRR2100798,S,S,S,S,SAMN03647971
SAMN03647580,SRR2100407,S,S,S,S,SAMN03647580
SAMN03647533,SRR2100360,S,S,S,S,SAMN03647533
SAMN03647708,SRR2100535,S,S,S,S,SAMN03647708
SAMN03647597,SRR2100424,S,S,S,S,SAMN03647597
SAMN03648042,SRR2100869,R,R,S,R,SAMN03648042
SAMN03647234,SRR2100061,S,S,S,S,SAMN03647234
SAMN03647553,SRR2100380,S,S,S,S,SAMN03647553
SAMN03647636,SRR2100463,S,S,S,S,SAMN03647636
SAMN03647471,SRR2100298,S,S,S,S,SAMN03647471
SAMN03648235,SRR2100988,S,S,S,S,SAMN03648235
SAMN03647436,SRR2100263,S,S,S,S,SAMN03647436
SAMN03647901,SRR2100728,S,S,S,S,SAMN03647901
SAMN03647607,SRR2100434,S,S,S,S,SAMN03647607
SAMN03648029,SRR2100856,S,S,S,S,SAMN03648029
SAMN03647773,SRR2100600,S,S,S,S,SAMN03647773
SAMN03647281,SRR2100108,S,R,S,S,SAMN03647281
SAMN03647193,SRR2100020,S,S,S,S,SAMN03647193
SAMN03648051,SRR2100878,S,R,S,S,SAMN03648051
SAMN03647352,SRR2100179,S,R,S,S,SAMN03647352
SAMN03647290,SRR2100117,S,S,S,S,SAMN03647290
SAMN03648236,SRR2100989,S,S,S,S,SAMN03648236
SAMN03647459,SRR2100286,S,S,S,S,SAMN03647459
SAMN03647794,SRR2100621,S,S,S,S,SAMN03647794
SAMN03647558,SRR2100385,R,R,R,R,SAMN03647558
SAMN03647571,SRR2100398,S,S,S,R,SAMN03647571
SAMN03648089,SRR2100916,S,R,S,S,SAMN03648089
SAMN03647299,SRR2100126,S,S,S,S,SAMN03647299
SAMN03647337,SRR2100164,S,S,S,S,SAMN03647337
SAMN03647172,SRR2099999,S,S,S,S,SAMN03647172
SAMN03647680,SRR2100507,S,S,S,S,SAMN03647680
SAMN03647590,SRR2100417,S,R,S,S,SAMN03647590
SAMN03647313,SRR2100140,S,S,S,S,SAMN03647313
SAMN03647925,SRR2100752,S,S,S,S,SAMN03647925
SAMN03647739,SRR2100566,S,S,S,S,SAMN03647739
SAMN03647438,SRR2100265,S,S,S,S,SAMN03647438
SAMN03647963,SRR2100790,S,S,S,S,SAMN03647963
SAMN03647380,SRR2100207,S,R,S,S,SAMN03647380
SAMN03647762,SRR2100589,S,S,S,S,SAMN03647762
SAMN03647614,SRR2100441,S,S,S,S,SAMN03647614
SAMN03647677,SRR2100504,S,S,S,S,SAMN03647677
SAMN03647221,SRR2100048,S,S,S,S,SAMN03647221
SAMN03647850,SRR2100677,S,S,S,S,SAMN03647850
SAMN03647914,SRR2100741,S,S,S,S,SAMN03647914
SAMN03647466,SRR2100293,S,S,S,S,SAMN03647466
SAMN03647736,SRR2100563,S,S,S,S,SAMN03647736
SAMN03647644,SRR2100471,S,S,S,S,SAMN03647644
SAMN03648069,SRR2100896,S,S,R,S,SAMN03648069
SAMN03647589,SRR2100416,S,S,S,S,SAMN03647589
SAMN03647252,SRR2100079,S,S,S,S,SAMN03647252
SAMN03647262,SRR2467265,S,S,S,S,SAMN03647262
SAMN03647909,SRR2100736,S,S,S,S,SAMN03647909
SAMN03647992,SRR2100819,S,S,S,S,SAMN03647992
SAMN03648173,SRR2100926,S,S,S,S,SAMN03648173
SAMN03647681,SRR2100508,S,S,S,S,SAMN03647681
SAMN03647298,SRR2100125,S,S,S,S,SAMN03647298
SAMN03647771,SRR2100598,S,S,S,S,SAMN03647771
SAMN03647650,SRR2100477,S,S,S,S,SAMN03647650
SAMN03647748,SRR2100575,S,S,S,S,SAMN03647748
SAMN03647401,SRR2100228,R,R,S,S,SAMN03647401
SAMN03647585,SRR2100412,S,S,S,S,SAMN03647585
SAMN03647625,SRR2100452,S,S,S,S,SAMN03647625
SAMN03647805,SRR2100632,S,S,S,S,SAMN03647805
SAMN03647784,SRR2100611,S,S,S,S,SAMN03647784
SAMN03647423,SRR2100250,S,R,S,R,SAMN03647423
SAMN03647610,SRR2100437,S,S,S,S,SAMN03647610
SAMN03647864,SRR2100691,S,S,S,S,SAMN03647864
SAMN03647521,SRR2100348,S,S,S,S,SAMN03647521
SAMN03647706,SRR2100533,S,S,S,S,SAMN03647706
SAMN03647570,SRR2100397,S,R,S,S,SAMN03647570
SAMN03647700,SRR2100527,S,S,S,S,SAMN03647700
SAMN03647164,SRR2099991,S,S,S,S,SAMN03647164
SAMN03647859,SRR2100686,S,S,S,S,SAMN03647859
SAMN03647742,SRR2100569,S,S,S,S,SAMN03647742
SAMN03647796,SRR2100623,S,S,S,S,SAMN03647796
SAMN03648088,SRR2100915,S,R,S,S,SAMN03648088
SAMN03647733,SRR2100560,S,S,S,S,SAMN03647733
SAMN03647737,SRR2100564,S,S,S,S,SAMN03647737
SAMN03648000,SRR2100827,S,R,S,S,SAMN03648000
SAMN03648189,SRR2100942,S,S,S,S,SAMN03648189
SAMN03648224,SRR2100977,S,S,S,S,SAMN03648224
SAMN03647588,SRR2100415,S,S,S,S,SAMN03647588
SAMN03647600,SRR2100427,S,S,S,S,SAMN03647600
SAMN03647822,SRR2100649,S,S,S,S,SAMN03647822
SAMN03647893,SRR2100720,S,S,S,S,SAMN03647893
SAMN03647463,SRR2100290,S,R,S,S,SAMN03647463
SAMN03647342,SRR2100169,S,S,S,S,SAMN03647342
SAMN03647525,SRR2100352,R,R,R,R,SAMN03647525
SAMN03647628,SRR2100455,S,S,S,S,SAMN03647628
SAMN03648232,SRR2100985,S,S,S,S,SAMN03648232
SAMN03648030,SRR2100857,S,S,S,S,SAMN03648030
SAMN03647574,SRR2100401,S,S,S,S,SAMN03647574
SAMN03647242,SRR2100069,S,S,S,S,SAMN03647242
SAMN03647428,SRR2100255,S,S,S,S,SAMN03647428
SAMN03647694,SRR2100521,S,S,S,S,SAMN03647694
SAMN03647443,SRR2100270,S,R,S,S,SAMN03647443
SAMN03647439,SRR2100266,S,S,S,S,SAMN03647439
SAMN03647416,SRR2100243,S,S,S,S,SAMN03647416
SAMN03647902,SRR2100729,S,S,S,S,SAMN03647902
SAMN03647149,SRR2099976,S,R,S,R,SAMN03647149
SAMN03648072,SRR2100899,S,S,S,S,SAMN03648072
SAMN03647707,SRR2100534,S,S,S,S,SAMN03647707
SAMN03647523,SRR2100350,S,R,S,S,SAMN03647523
SAMN03647605,SRR2100432,S,R,R,R,SAMN03647605
SAMN03647150,SRR2099977,S,R,S,S,SAMN03647150
SAMN03647620,SRR2100447,S,S,S,S,SAMN03647620
SAMN03647889,SRR2100716,S,S,S,S,SAMN03647889
SAMN03647153,SRR2099980,S,R,S,S,SAMN03647153
SAMN03647941,SRR2100768,S,S,S,S,SAMN03647941
SAMN03647922,SRR2100749,S,S,S,S,SAMN03647922
SAMN03647821,SRR2100648,S,S,S,S,SAMN03647821
SAMN03648234,SRR2100987,S,S,S,S,SAMN03648234
SAMN03648021,SRR2100848,S,R,S,R,SAMN03648021
SAMN03647774,SRR2100601,S,S,S,R,SAMN03647774
SAMN03648218,SRR2100971,S,S,S,S,SAMN03648218
SAMN03647895,SRR2100722,S,S,S,S,SAMN03647895
SAMN03647499,SRR2100326,S,S,S,S,SAMN03647499
SAMN03647661,SRR2100488,S,S,S,S,SAMN03647661
SAMN03647826,SRR2100653,S,S,S,S,SAMN03647826
SAMN03647886,SRR2100713,S,S,S,S,SAMN03647886
SAMN03648185,SRR2100938,S,S,S,S,SAMN03648185
SAMN03647854,SRR2100681,S,S,S,S,SAMN03647854
SAMN03647676,SRR2100503,S,S,S,S,SAMN03647676
SAMN03648003,SRR2100830,R,R,R,R,SAMN03648003
SAMN03647647,SRR2100474,S,S,S,S,SAMN03647647
SAMN03647309,SRR2100136,S,S,S,S,SAMN03647309
SAMN03648071,SRR2100898,S,R,S,S,SAMN03648071
SAMN03647646,SRR2100473,S,S,S,S,SAMN03647646
SAMN03647434,SRR2100261,S,R,S,S,SAMN03647434
SAMN03647327,SRR2100154,S,S,S,S,SAMN03647327
SAMN03648209,SRR2100962,S,S,S,S,SAMN03648209
SAMN03647750,SRR2100577,S,S,S,S,SAMN03647750
SAMN03647792,SRR2100619,S,S,S,S,SAMN03647792
SAMN03647860,SRR2100687,S,S,S,S,SAMN03647860
SAMN03647787,SRR2100614,S,S,S,S,SAMN03647787
SAMN03648040,SRR2100867,S,S,S,S,SAMN03648040
SAMN03647829,SRR2100656,S,S,S,S,SAMN03647829
SAMN03647675,SRR2100502,S,S,S,S,SAMN03647675
SAMN03647219,SRR2100046,S,S,S,S,SAMN03647219
SAMN03647910,SRR2100737,S,S,S,S,SAMN03647910
SAMN03647684,SRR2100511,S,S,S,S,SAMN03647684
SAMN03648035,SRR2100862,S,S,S,S,SAMN03648035
SAMN03647834,SRR2100661,S,S,S,S,SAMN03647834
SAMN03647881,SRR2100708,S,S,S,S,SAMN03647881
SAMN03647268,SRR2100095,S,S,S,S,SAMN03647268
SAMN03647351,SRR2100178,S,R,S,S,SAMN03647351
SAMN03648241,SRR2100994,S,S,S,S,SAMN03648241
SAMN03647755,SRR2100582,S,S,S,S,SAMN03647755
SAMN03647554,SRR2100381,S,S,S,S,SAMN03647554
SAMN03647718,SRR2100545,S,S,S,S,SAMN03647718
SAMN03647795,SRR2100622,S,S,S,S,SAMN03647795
SAMN03647220,SRR2100047,S,S,S,S,SAMN03647220
SAMN03647662,SRR2100489,S,S,S,S,SAMN03647662
SAMN03647809,SRR2100636,S,S,S,S,SAMN03647809
SAMN03647908,SRR2100735,S,S,S,S,SAMN03647908
SAMN03648092,SRR2100919,S,R,S,S,SAMN03648092
SAMN03647726,SRR2100553,S,S,S,S,SAMN03647726
SAMN03647587,SRR2100414,S,S,S,S,SAMN03647587
SAMN03647791,SRR2100618,S,S,S,S,SAMN03647791
SAMN03647537,SRR2100364,S,S,S,S,SAMN03647537
SAMN03647698,SRR2100525,S,S,S,S,SAMN03647698
SAMN03647263,SRR2100090,S,S,S,S,SAMN03647263
SAMN03647702,SRR2100529,S,S,S,S,SAMN03647702
SAMN03647790,SRR2100617,S,S,S,S,SAMN03647790
SAMN03647593,SRR2100420,S,S,S,S,SAMN03647593
SAMN03647557,SRR2100384,S,S,S,S,SAMN03647557
SAMN03648197,SRR2100950,R,R,R,R,SAMN03648197
SAMN03647301,SRR2100128,S,S,S,S,SAMN03647301
SAMN03647475,SRR2100302,S,S,S,S,SAMN03647475
SAMN03647699,SRR2100526,S,S,S,S,SAMN03647699
SAMN03647384,SRR2100211,S,S,S,S,SAMN03647384
SAMN03647524,SRR2100351,S,R,S,S,SAMN03647524
SAMN03647743,SRR2100570,S,S,S,S,SAMN03647743
SAMN03647244,SRR2100071,S,S,S,S,SAMN03647244
SAMN03648036,SRR2100863,S,S,S,S,SAMN03648036
SAMN03647870,SRR2100697,S,S,S,S,SAMN03647870
SAMN03647591,SRR2100418,S,S,S,S,SAMN03647591
SAMN03647818,SRR2100645,S,S,S,S,SAMN03647818
SAMN03648216,SRR2100969,S,S,S,S,SAMN03648216
SAMN03647156,SRR2099983,S,R,S,S,SAMN03647156
SAMN03647530,SRR2100357,S,S,S,S,SAMN03647530
SAMN03647635,SRR2100462,S,S,S,S,SAMN03647635
SAMN03647973,SRR2100800,S,S,S,S,SAMN03647973
SAMN03647846,SRR2100673,S,S,S,S,SAMN03647846
SAMN03647162,SRR2099989,S,R,S,S,SAMN03647162
SAMN03647673,SRR2100500,S,S,S,S,SAMN03647673
SAMN03647253,SRR2100080,S,S,S,S,SAMN03647253
SAMN03648087,SRR2100914,S,R,S,R,SAMN03648087
SAMN03647249,SRR2100076,S,S,S,S,SAMN03647249
SAMN03647896,SRR2100723,S,S,S,S,SAMN03647896
SAMN03647843,SRR2100670,S,S,S,S,SAMN03647843
SAMN03647282,SRR2100109,S,S,S,S,SAMN03647282
SAMN03648007,SRR2100834,S,S,S,S,SAMN03648007
SAMN03648186,SRR2100939,S,S,S,S,SAMN03648186
SAMN03647869,SRR2100696,S,S,S,S,SAMN03647869
SAMN03647170,SRR2099997,S,S,S,S,SAMN03647170
SAMN03647271,SRR2100098,S,S,S,S,SAMN03647271
SAMN03647692,SRR2100519,S,S,S,S,SAMN03647692
SAMN03648015,SRR2100842,S,R,S,R,SAMN03648015
SAMN03647476,SRR2100303,S,S,S,S,SAMN03647476
SAMN03647314,SRR2100141,S,S,S,S,SAMN03647314
SAMN03647317,SRR2100144,S,S,S,S,SAMN03647317
SAMN03648022,SRR2100849,S,R,S,S,SAMN03648022
SAMN03648009,SRR2100836,S,R,S,R,SAMN03648009
SAMN03647519,SRR2100346,S,S,S,S,SAMN03647519
SAMN03647478,SRR2100305,S,S,S,S,SAMN03647478
SAMN03647383,SRR2100210,S,S,S,S,SAMN03647383
SAMN03647210,SRR2100037,S,S,S,S,SAMN03647210
SAMN03647494,SRR2100321,S,R,S,S,SAMN03647494
SAMN03647508,SRR2100335,R,R,S,R,SAMN03647508
SAMN03647431,SRR2100258,S,R,S,S,SAMN03647431
SAMN03647224,SRR2100051,S,S,S,S,SAMN03647224
SAMN03647556,SRR2100383,S,R,S,S,SAMN03647556
SAMN03647371,SRR2100198,S,R,S,S,SAMN03647371
SAMN03648174,SRR2100927,S,S,S,S,SAMN03648174
SAMN03647641,SRR2100468,S,S,S,S,SAMN03647641
SAMN03647551,SRR2100378,S,S,S,S,SAMN03647551
SAMN03647444,SRR2100271,S,R,S,S,SAMN03647444
SAMN03647454,SRR2100281,S,S,S,S,SAMN03647454
SAMN03647464,SRR2100291,S,S,S,S,SAMN03647464
SAMN03647348,SRR2100175,S,R,S,S,SAMN03647348
SAMN03647427,SRR2100254,S,S,S,S,SAMN03647427
SAMN03647206,SRR2100033,S,S,S,S,SAMN03647206
SAMN03647378,SRR2100205,S,S,S,S,SAMN03647378
SAMN03647949,SRR2100776,S,S,S,S,SAMN03647949
SAMN03647756,SRR2100583,S,S,S,S,SAMN03647756
SAMN03647856,SRR2100683,S,S,S,S,SAMN03647856
SAMN03647619,SRR2100446,S,R,S,S,SAMN03647619
SAMN03648045,SRR2100872,S,R,S,S,SAMN03648045
SAMN03648006,SRR2100833,S,R,S,S,SAMN03648006
SAMN03647666,SRR2100493,S,S,S,S,SAMN03647666
SAMN03647575,SRR2100402,S,R,S,R,SAMN03647575
SAMN03647611,SRR2100438,S,S,S,S,SAMN03647611
SAMN03647500,SRR2100327,S,S,S,S,SAMN03647500
SAMN03647980,SRR2100807,S,S,S,S,SAMN03647980
SAMN03648183,SRR2100936,S,S,S,S,SAMN03648183
SAMN03647167,SRR2099994,S,S,S,S,SAMN03647167
SAMN03647951,SRR2100778,S,S,S,S,SAMN03647951
SAMN03647946,SRR2100773,S,S,S,S,SAMN03647946
SAMN03647899,SRR2100726,S,S,S,S,SAMN03647899
SAMN03647781,SRR2100608,S,S,S,S,SAMN03647781
SAMN03647289,SRR2100116,S,S,S,S,SAMN03647289
SAMN03647704,SRR2100531,S,S,S,S,SAMN03647704
SAMN03647353,SRR2100180,S,S,S,S,SAMN03647353
SAMN03648172,SRR2100925,S,R,S,R,SAMN03648172
SAMN03647879,SRR2100706,S,S,S,S,SAMN03647879
SAMN03647923,SRR2100750,S,S,S,S,SAMN03647923
SAMN03647287,SRR2100114,S,S,S,S,SAMN03647287
SAMN03647413,SRR2100240,S,R,S,S,SAMN03647413
SAMN03647594,SRR2100421,S,S,S,S,SAMN03647594
SAMN03647697,SRR2100524,S,S,S,S,SAMN03647697
SAMN03647825,SRR2100652,S,S,S,S,SAMN03647825
SAMN03647391,SRR2100218,S,R,S,S,SAMN03647391
SAMN03647703,SRR2100530,S,S,S,S,SAMN03647703
SAMN03647989,SRR2100816,S,S,S,S,SAMN03647989
SAMN03648214,SRR2100967,S,S,S,S,SAMN03648214
SAMN03647979,SRR2100806,S,S,S,S,SAMN03647979
SAMN03647920,SRR2100747,S,S,S,S,SAMN03647920
SAMN03647324,SRR2100151,S,S,S,S,SAMN03647324
SAMN03647277,SRR2100104,S,S,S,S,SAMN03647277
SAMN03647688,SRR2100515,S,S,S,S,SAMN03647688
SAMN03647517,SRR2100344,S,R,S,S,SAMN03647517
SAMN03647659,SRR2100486,S,S,S,S,SAMN03647659
SAMN03647534,SRR2100361,S,S,S,S,SAMN03647534
SAMN03647388,SRR2100215,S,R,S,S,SAMN03647388
SAMN03647512,SRR2100339,S,S,S,S,SAMN03647512
SAMN03647577,SRR2100404,S,S,S,S,SAMN03647577
SAMN03647956,SRR2100783,S,S,S,S,SAMN03647956
SAMN03647964,SRR2100791,S,S,S,S,SAMN03647964
SAMN03647341,SRR2100168,S,R,S,S,SAMN03647341
SAMN03647877,SRR2100704,S,S,S,S,SAMN03647877
SAMN03647178,SRR2100005,S,S,S,S,SAMN03647178
SAMN03647848,SRR2100675,S,S,S,S,SAMN03647848
SAMN03647307,SRR2100134,S,S,S,S,SAMN03647307
SAMN03648200,SRR2100953,S,S,S,S,SAMN03648200
SAMN03647152,SRR2099979,S,R,S,S,SAMN03647152
SAMN03647721,SRR2100548,S,S,S,S,SAMN03647721
SAMN03647962,SRR2100789,S,S,S,S,SAMN03647962
SAMN03647719,SRR2100546,S,S,S,S,SAMN03647719
SAMN03647713,SRR2100540,S,S,S,S,SAMN03647713
SAMN03648203,SRR2100956,S,S,S,S,SAMN03648203
SAMN03647986,SRR2100813,S,S,S,S,SAMN03647986
SAMN03647473,SRR2100300,S,R,S,S,SAMN03647473
SAMN03647723,SRR2100550,S,S,S,S,SAMN03647723
SAMN03647528,SRR2100355,S,S,S,S,SAMN03647528
SAMN03647884,SRR2100711,S,S,S,S,SAMN03647884
SAMN03647182,SRR2100009,S,S,S,S,SAMN03647182
SAMN03647915,SRR2100742,S,S,S,S,SAMN03647915
SAMN03647496,SRR2100323,S,R,S,S,SAMN03647496
SAMN03647898,SRR2100725,S,S,S,S,SAMN03647898
SAMN03647415,SRR2100242,S,S,S,S,SAMN03647415
SAMN03647634,SRR2100461,S,S,S,S,SAMN03647634
SAMN03647375,SRR2100202,S,S,S,S,SAMN03647375
SAMN03647292,SRR2100119,S,S,S,S,SAMN03647292
SAMN03647487,SRR2100314,S,S,S,S,SAMN03647487
SAMN03647747,SRR2100574,S,S,S,S,SAMN03647747
SAMN03647806,SRR2100633,S,S,S,S,SAMN03647806
SAMN03647491,SRR2100318,S,S,S,S,SAMN03647491
SAMN03648215,SRR2100968,S,S,S,S,SAMN03648215
SAMN03647632,SRR2100459,R,R,S,R,SAMN03647632
SAMN03647304,SRR2100131,S,R,R,S,SAMN03647304
SAMN03647320,SRR2100147,S,S,S,S,SAMN03647320
SAMN03647961,SRR2100788,S,S,S,S,SAMN03647961
SAMN03647878,SRR2100705,S,R,S,S,SAMN03647878
SAMN03647419,SRR2100246,S,R,S,R,SAMN03647419
SAMN03647921,SRR2100748,S,S,S,S,SAMN03647921
SAMN03647332,SRR2100159,S,R,S,S,SAMN03647332
SAMN03648067,SRR2100894,S,R,S,S,SAMN03648067
SAMN03647740,SRR2100567,S,S,S,S,SAMN03647740
SAMN03647608,SRR2100435,S,S,S,S,SAMN03647608
SAMN03647994,SRR2100821,S,S,R,S,SAMN03647994
SAMN03647446,SRR2100273,S,S,S,S,SAMN03647446
SAMN03648044,SRR2100871,S,R,S,S,SAMN03648044
SAMN03647550,SRR2100377,S,R,S,S,SAMN03647550
SAMN03647157,SRR2099984,S,R,S,S,SAMN03647157
SAMN03647907,SRR2100734,S,S,S,S,SAMN03647907
SAMN03647501,SRR2100328,S,S,S,S,SAMN03647501
SAMN03647283,SRR2100110,S,S,S,S,SAMN03647283
SAMN03647484,SRR2100311,S,S,S,S,SAMN03647484
SAMN03647621,SRR2100448,S,S,S,S,SAMN03647621
SAMN03647982,SRR2100809,S,S,S,S,SAMN03647982
SAMN03647520,SRR2100347,S,S,S,S,SAMN03647520
SAMN03647617,SRR2100444,S,S,S,S,SAMN03647617
SAMN03647316,SRR2100143,S,S,S,S,SAMN03647316
SAMN03647657,SRR2100484,S,S,S,S,SAMN03647657
SAMN03648031,SRR2100858,S,S,S,S,SAMN03648031
SAMN03647761,SRR2100588,S,S,S,S,SAMN03647761
SAMN03648078,SRR2100905,S,R,S,S,SAMN03648078
SAMN03647890,SRR2100717,S,S,S,S,SAMN03647890
SAMN03647339,SRR2100166,S,R,S,S,SAMN03647339
SAMN03648002,SRR2467271,S,R,S,S,SAMN03648002
SAMN03648001,SRR2100828,S,R,S,R,SAMN03648001
SAMN03647693,SRR2100520,S,S,S,S,SAMN03647693
SAMN03647267,SRR2100094,S,S,S,S,SAMN03647267
SAMN03647390,SRR2100217,S,R,S,R,SAMN03647390
SAMN03647347,SRR2100174,S,S,S,S,SAMN03647347
SAMN03647369,SRR2100196,S,R,S,S,SAMN03647369
SAMN03647372,SRR2100199,S,S,S,S,SAMN03647372
SAMN03647875,SRR2100702,S,S,S,S,SAMN03647875
SAMN03647691,SRR2100518,S,S,S,S,SAMN03647691
SAMN03647432,SRR2100259,S,R,S,S,SAMN03647432
SAMN03648233,SRR2100986,S,S,S,S,SAMN03648233
SAMN03647849,SRR2100676,S,S,S,S,SAMN03647849
SAMN03648028,SRR2100855,S,R,S,R,SAMN03648028
SAMN03647187,SRR2100014,S,S,S,S,SAMN03647187
SAMN03648084,SRR2100911,R,R,S,R,SAMN03648084
SAMN03647205,SRR2100032,S,R,S,S,SAMN03647205
SAMN03648055,SRR2100882,S,R,S,S,SAMN03648055
SAMN03647934,SRR2100761,S,S,S,S,SAMN03647934
SAMN03648223,SRR2100976,S,S,S,S,SAMN03648223
SAMN03647705,SRR2100532,S,S,S,S,SAMN03647705
SAMN03648178,SRR2100931,S,S,S,S,SAMN03648178
SAMN03648192,SRR2100945,S,S,S,S,SAMN03648192
SAMN03647871,SRR2100698,S,S,S,S,SAMN03647871
SAMN03647498,SRR2100325,S,R,S,S,SAMN03647498
SAMN03647160,SRR2099987,S,R,S,S,SAMN03647160
SAMN03648038,SRR2100865,S,S,S,S,SAMN03648038
SAMN03647581,SRR2100408,S,S,S,S,SAMN03647581
SAMN03647618,SRR2100445,S,S,S,S,SAMN03647618
SAMN03647168,SRR2099995,S,S,S,S,SAMN03647168
SAMN03647758,SRR2100585,S,S,S,S,SAMN03647758
SAMN03647993,SRR2100820,S,S,R,S,SAMN03647993
SAMN03647776,SRR2100603,S,S,S,S,SAMN03647776
SAMN03647751,SRR2100578,S,S,S,S,SAMN03647751
SAMN03647449,SRR2100276,S,S,S,S,SAMN03647449
SAMN03648008,SRR2100835,S,S,S,S,SAMN03648008
SAMN03647665,SRR2100492,S,S,S,S,SAMN03647665
SAMN03647196,SRR2100023,S,S,S,S,SAMN03647196
SAMN03647678,SRR2100505,S,S,S,S,SAMN03647678
SAMN03647714,SRR2100541,S,S,S,S,SAMN03647714
SAMN03647532,SRR2100359,S,R,S,S,SAMN03647532
SAMN03647208,SRR2100035,S,S,S,S,SAMN03647208
SAMN03647668,SRR2100495,S,S,S,S,SAMN03647668
SAMN03647730,SRR2100557,S,S,S,S,SAMN03647730
SAMN03648056,SRR2100883,S,R,S,S,SAMN03648056
SAMN03647999,SRR2100826,R,S,S,S,SAMN03647999
SAMN03647760,SRR2100587,S,S,S,S,SAMN03647760
SAMN03647303,SRR2100130,S,S,S,S,SAMN03647303
SAMN03647904,SRR2100731,S,S,S,S,SAMN03647904
SAMN03647350,SRR2100177,S,R,S,S,SAMN03647350
SAMN03647373,SRR2100200,S,S,S,S,SAMN03647373
SAMN03647940,SRR2100767,S,S,S,S,SAMN03647940
SAMN03647987,SRR2100814,S,S,S,S,SAMN03647987
SAMN03647779,SRR2100606,S,S,S,S,SAMN03647779
SAMN03647777,SRR2100604,S,S,S,S,SAMN03647777
SAMN03647565,SRR2100392,S,R,R,R,SAMN03647565
SAMN03647626,SRR2100453,S,R,S,S,SAMN03647626
SAMN03647567,SRR2100394,S,R,S,S,SAMN03647567
SAMN03647615,SRR2100442,S,S,S,S,SAMN03647615
